index,OrderId,CustomerID,EmployeeID,OrderDate,ShippedDate,RequiredDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
25,10273,QUICK,3,2014-08-05,2014-08-12,2014-09-02,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
26,10274,VINET,6,2014-08-06,2014-08-16,2014-09-03,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
27,10275,MAGAA,1,2014-08-07,2014-08-09,2014-09-04,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
28,10276,TORTU,8,2014-08-08,2014-08-14,2014-08-22,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
29,10277,MORGK,2,2014-08-09,2014-08-13,2014-09-06,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
30,10278,BERGS,8,2014-08-12,2014-08-16,2014-09-09,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
31,10279,LEHMS,8,2014-08-13,2014-08-16,2014-09-10,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
32,10280,BERGS,2,2014-08-14,2014-09-12,2014-09-11,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
33,10281,ROMEY,4,2014-08-14,2014-08-21,2014-08-28,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
34,10282,ROMEY,4,2014-08-15,2014-08-21,2014-09-12,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
35,10283,LILAS,3,2014-08-16,2014-08-23,2014-09-13,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
36,10284,LEHMS,4,2014-08-19,2014-08-27,2014-09-16,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
37,10285,QUICK,1,2014-08-20,2014-08-26,2014-09-17,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
38,10286,QUICK,8,2014-08-21,2014-08-30,2014-09-18,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
39,10287,RICAR,8,2014-08-22,2014-08-28,2014-09-19,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
40,10288,REGGC,4,2014-08-23,2014-09-03,2014-09-20,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
41,10289,BSBEV,7,2014-08-26,2014-08-28,2014-09-23,3,22.77,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
42,10290,COMMI,8,2014-08-27,2014-09-03,2014-09-24,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
43,10291,QUEDE,6,2014-08-27,2014-09-04,2014-09-24,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
44,10292,TRADH,1,2014-08-28,2014-09-02,2014-09-25,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
45,10293,TORTU,1,2014-08-29,2014-09-11,2014-09-26,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
46,10294,RATTC,4,2014-08-30,2014-09-05,2014-09-27,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
47,10295,VINET,2,2014-09-02,2014-09-10,2014-09-30,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
48,10296,LILAS,6,2014-09-03,2014-09-11,2014-10-01,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
49,10297,BLONP,5,2014-09-04,2014-09-10,2014-10-16,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
50,10298,HUNGO,6,2014-09-05,2014-09-11,2014-10-03,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
51,10299,RICAR,4,2014-09-06,2014-09-13,2014-10-04,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
52,10300,MAGAA,2,2014-09-09,2014-09-18,2014-10-07,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
53,10301,WANDK,8,2014-09-09,2014-09-17,2014-10-07,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
54,10302,SUPRD,4,2014-09-10,2014-10-09,2014-10-08,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
55,10303,GODOS,7,2014-09-11,2014-09-18,2014-10-09,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain
56,10304,TORTU,1,2014-09-12,2014-09-17,2014-10-10,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
57,10305,OLDWO,8,2014-09-13,2014-10-09,2014-10-11,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
58,10306,ROMEY,1,2014-09-16,2014-09-23,2014-10-14,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
59,10307,LONEP,2,2014-09-17,2014-09-25,2014-10-15,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
60,10308,ANATR,7,2014-09-18,2014-09-24,2014-10-16,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico
61,10309,HUNGO,3,2014-09-19,2014-10-23,2014-10-17,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
62,10310,THEBI,8,2014-09-20,2014-09-27,2014-10-18,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
63,10311,DUMON,1,2014-09-20,2014-09-26,2014-10-04,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,France
64,10312,WANDK,2,2014-09-23,2014-10-03,2014-10-21,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
65,10313,QUICK,2,2014-09-24,2014-10-04,2014-10-22,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
66,10314,RATTC,1,2014-09-25,2014-10-04,2014-10-23,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
67,10315,ISLAT,4,2014-09-26,2014-10-03,2014-10-24,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
68,10316,RATTC,1,2014-09-27,2014-10-08,2014-10-25,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
69,10317,LONEP,6,2014-09-30,2014-10-10,2014-10-28,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
70,10318,ISLAT,8,2014-10-01,2014-10-04,2014-10-29,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
71,10319,TORTU,7,2014-10-02,2014-10-11,2014-10-30,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
72,10320,WARTH,5,2014-10-03,2014-10-18,2014-10-17,3,34.57,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
73,10321,ISLAT,3,2014-10-03,2014-10-11,2014-10-31,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
74,10322,PERIC,7,2014-10-04,2014-10-23,2014-11-01,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
75,10323,KOENE,4,2014-10-07,2014-10-14,2014-11-04,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
76,10324,SAVEA,9,2014-10-08,2014-10-10,2014-11-05,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
77,10325,KOENE,1,2014-10-09,2014-10-14,2014-10-23,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
78,10326,BOLID,4,2014-10-10,2014-10-14,2014-11-07,2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain
79,10327,FOLKO,2,2014-10-11,2014-10-14,2014-11-08,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
80,10328,FURIB,4,2014-10-14,2014-10-17,2014-11-11,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
81,10329,SPLIR,4,2014-10-15,2014-10-23,2014-11-26,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
82,10330,LILAS,3,2014-10-16,2014-10-28,2014-11-13,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
83,10331,BONAP,9,2014-10-16,2014-10-21,2014-11-27,1,10.19,Bon app',"12, rue des Bouchers",Marseille,,13008,France
84,10332,MEREP,3,2014-10-17,2014-10-21,2014-11-28,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
85,10333,WARTH,5,2014-10-18,2014-10-25,2014-11-15,3,0.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
86,10334,VICTE,8,2014-10-21,2014-10-28,2014-11-18,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
87,10335,HUNGO,7,2014-10-22,2014-10-24,2014-11-19,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
88,10336,PRINI,7,2014-10-23,2014-10-25,2014-11-20,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
89,10337,FRANK,4,2014-10-24,2014-10-29,2014-11-21,3,108.26,Frankenversand,Berliner Platz 43,München,,80805,Germany
90,10338,OLDWO,4,2014-10-25,2014-10-29,2014-11-22,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
91,10339,MEREP,2,2014-10-28,2014-11-04,2014-11-25,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
92,10340,BONAP,1,2014-10-29,2014-11-08,2014-11-26,3,166.31,Bon app',"12, rue des Bouchers",Marseille,,13008,France
93,10341,SIMOB,7,2014-10-29,2014-11-05,2014-11-26,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
94,10342,FRANK,4,2014-10-30,2014-11-04,2014-11-13,2,54.83,Frankenversand,Berliner Platz 43,München,,80805,Germany
95,10343,LEHMS,4,2014-10-31,2014-11-06,2014-11-28,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
96,10344,WHITC,4,2014-11-01,2014-11-05,2014-11-29,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
97,10345,QUICK,2,2014-11-04,2014-11-11,2014-12-02,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
98,10346,RATTC,3,2014-11-05,2014-11-08,2014-12-17,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
99,10347,FAMIA,4,2014-11-06,2014-11-08,2014-12-04,3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
100,10348,WANDK,4,2014-11-07,2014-11-15,2014-12-05,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
101,10349,SPLIR,7,2014-11-08,2014-11-15,2014-12-06,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
102,10350,LAMAI,6,2014-11-11,2014-12-03,2014-12-09,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
103,10351,ERNSH,1,2014-11-11,2014-11-20,2014-12-09,1,162.33,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
104,10352,FURIB,3,2014-11-12,2014-11-18,2014-11-26,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
105,10353,PICCO,7,2014-11-13,2014-11-25,2014-12-11,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
106,10354,PERIC,8,2014-11-14,2014-11-20,2014-12-12,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
107,10355,AROUT,6,2014-11-15,2014-11-20,2014-12-13,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
108,10356,WANDK,6,2014-11-18,2014-11-27,2014-12-16,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
109,10357,LILAS,1,2014-11-19,2014-12-02,2014-12-17,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
110,10358,LAMAI,5,2014-11-20,2014-11-27,2014-12-18,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
111,10359,SEVES,5,2014-11-21,2014-11-26,2014-12-19,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
112,10360,BLONP,4,2014-11-22,2014-12-02,2014-12-20,3,131.7,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
113,10361,QUICK,1,2014-11-22,2014-12-03,2014-12-20,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
114,10362,BONAP,3,2014-11-25,2014-11-28,2014-12-23,1,96.04,Bon app',"12, rue des Bouchers",Marseille,,13008,France
115,10363,DRACD,4,2014-11-26,2014-12-04,2014-12-24,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
116,10364,EASTC,1,2014-11-26,2014-12-04,2015-01-07,1,71.97,Eastern Connection,35 King George,London,,WX3 6FW,UK
117,10365,ANTON,3,2014-11-27,2014-12-02,2014-12-25,2,22.0,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
118,10366,GALED,8,2014-11-28,2014-12-30,2015-01-09,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,Spain
119,10367,VAFFE,7,2014-11-28,2014-12-02,2014-12-26,3,13.55,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
120,10368,ERNSH,2,2014-11-29,2014-12-02,2014-12-27,2,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
121,10369,SPLIR,8,2014-12-02,2014-12-09,2014-12-30,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
122,10370,CHOPS,6,2014-12-03,2014-12-27,2014-12-31,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
123,10371,LAMAI,1,2014-12-03,2014-12-24,2014-12-31,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
124,10372,QUEEN,5,2014-12-04,2014-12-09,2015-01-01,2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
125,10373,HUNGO,4,2014-12-05,2014-12-11,2015-01-02,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
126,10374,WOLZA,1,2014-12-05,2014-12-09,2015-01-02,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
127,10375,HUNGC,3,2014-12-06,2014-12-09,2015-01-03,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
128,10376,MEREP,1,2014-12-09,2014-12-13,2015-01-06,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
129,10377,SEVES,1,2014-12-09,2014-12-13,2015-01-06,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
130,10378,FOLKO,5,2014-12-10,2014-12-19,2015-01-07,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
131,10379,QUEDE,2,2014-12-11,2014-12-13,2015-01-08,1,45.03,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
132,10380,HUNGO,8,2014-12-12,2015-01-16,2015-01-09,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
133,10381,LILAS,3,2014-12-12,2014-12-13,2015-01-09,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
134,10382,ERNSH,4,2014-12-13,2014-12-16,2015-01-10,1,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
135,10383,AROUT,8,2014-12-16,2014-12-18,2015-01-13,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
136,10384,BERGS,3,2014-12-16,2014-12-20,2015-01-13,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
137,10385,SPLIR,1,2014-12-17,2014-12-23,2015-01-14,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
138,10386,FAMIA,9,2014-12-18,2014-12-25,2015-01-01,3,13.99,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
139,10387,SANTG,1,2014-12-18,2014-12-20,2015-01-15,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
140,10388,SEVES,2,2014-12-19,2014-12-20,2015-01-16,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
141,10389,BOTTM,4,2014-12-20,2014-12-24,2015-01-17,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
142,10390,ERNSH,6,2014-12-23,2014-12-26,2015-01-20,1,126.38,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
143,10391,DRACD,3,2014-12-23,2014-12-31,2015-01-20,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
144,10392,PICCO,2,2014-12-24,2015-01-01,2015-01-21,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
145,10393,SAVEA,1,2014-12-25,2015-01-03,2015-01-22,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
146,10394,HUNGC,1,2014-12-25,2015-01-03,2015-01-22,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
147,10395,HILAA,6,2014-12-26,2015-01-03,2015-01-23,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
148,10396,FRANK,1,2014-12-27,2015-01-06,2015-01-10,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany
149,10397,PRINI,5,2014-12-27,2015-01-02,2015-01-24,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
150,10398,SAVEA,2,2014-12-30,2015-01-09,2015-01-27,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
151,10399,VAFFE,8,2014-12-31,2015-01-08,2015-01-14,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
152,10400,EASTC,1,2015-01-01,2015-01-16,2015-01-29,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK
153,10401,RATTC,1,2015-01-01,2015-01-10,2015-01-29,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
154,10402,ERNSH,8,2015-01-02,2015-01-10,2015-02-13,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
155,10403,ERNSH,4,2015-01-03,2015-01-09,2015-01-31,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
156,10404,MAGAA,2,2015-01-03,2015-01-08,2015-01-31,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
157,10405,LINOD,1,2015-01-06,2015-01-22,2015-02-03,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
158,10406,QUEEN,7,2015-01-07,2015-01-13,2015-02-18,1,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
159,10407,OTTIK,2,2015-01-07,2015-01-30,2015-02-04,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
160,10408,FOLIG,8,2015-01-08,2015-01-14,2015-02-05,1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,France
161,10409,OCEAN,3,2015-01-09,2015-01-14,2015-02-06,1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina
162,10410,BOTTM,3,2015-01-10,2015-01-15,2015-02-07,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
163,10411,BOTTM,9,2015-01-10,2015-01-21,2015-02-07,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
164,10412,WARTH,8,2015-01-13,2015-01-15,2015-02-10,2,3.77,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
165,10413,LAMAI,3,2015-01-14,2015-01-16,2015-02-11,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
166,10414,FAMIA,2,2015-01-14,2015-01-17,2015-02-11,3,21.48,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
167,10415,HUNGC,3,2015-01-15,2015-01-24,2015-02-12,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
168,10416,WARTH,8,2015-01-16,2015-01-27,2015-02-13,3,22.72,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
169,10417,SIMOB,4,2015-01-16,2015-01-28,2015-02-13,3,70.29,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
170,10418,QUICK,4,2015-01-17,2015-01-24,2015-02-14,1,17.55,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
171,10419,RICSU,4,2015-01-20,2015-01-30,2015-02-17,2,137.35,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
172,10420,WELLI,3,2015-01-21,2015-01-27,2015-02-18,1,44.12,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
173,10421,QUEDE,8,2015-01-21,2015-01-27,2015-03-04,1,99.23,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
174,10422,FRANS,2,2015-01-22,2015-01-31,2015-02-19,1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Torino,,10100,Italy
175,10423,GOURL,6,2015-01-23,2015-02-24,2015-02-06,3,24.5,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil
176,10424,MEREP,7,2015-01-23,2015-01-27,2015-02-20,2,370.61,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
