City|County,2014 Estimate,2010 Census,2000 Census
Glenrock|Converse,"<td>2,583</td>","<td>2,576</td>","<td>2,231</td>"
Grand Encampment|Carbon,<td>443</td>,<td>450</td>,<td>443</td>
Granger|Sweetwater,<td>139</td>,<td>139</td>,<td>146</td>
Green River ?|Sweetwater,"<td>12,630</td>","<td>12,515</td>","<td>11,808</td>"
Greybull|Big Horn,"<td>1,868</td>","<td>1,847</td>","<td>1,815</td>"
Guernsey|Platte,"<td>1,193</td>","<td>1,147</td>","<td>1,147</td>"
Hanna|Carbon,<td>831</td>,<td>841</td>,<td>873</td>
Hartville|Platte,<td>62</td>,<td>62</td>,<td>76</td>
Hudson|Fremont,<td>462</td>,<td>458</td>,<td>407</td>
Hulett|Crook,<td>400</td>,<td>383</td>,<td>408</td>
Jackson ?|Teton,"<td>10,449</td>","<td>9,577</td>","<td>8,647</td>"
Kaycee|Johnson,<td>260</td>,<td>263</td>,<td>249</td>
Kemmerer ?|Lincoln,"<td>2,732</td>","<td>2,656</td>","<td>2,651</td>"
Kirby|Hot Springs,<td>93</td>,<td>92</td>,<td>57</td>
La Barge|Lincoln,<td>553</td>,<td>551</td>,<td>431</td>
La Grange|Goshen,<td>455</td>,<td>448</td>,<td>332</td>
Lander ?|Fremont,"<td>7,642</td>","<td>7,487</td>","<td>6,867</td>"
Laramie ?|Albany,"<td>32,081</td>","<td>30,816</td>","<td>27,204</td>"
Lingle|Goshen,<td>467</td>,<td>468</td>,<td>510</td>
Lost Springs|Converse,<td>4</td>,<td>4</td>,<td>1</td>
Lovell|Big Horn,"<td>2,404</td>","<td>2,360</td>","<td>2,281</td>"
Lusk ?|Niobrara,"<td>1,578</td>","<td>1,567</td>","<td>1,447</td>"
Lyman|Uinta,"<td>2,077</td>","<td>2,115</td>","<td>1,938</td>"
Manderson|Big Horn,<td>117</td>,<td>114</td>,<td>104</td>
Manville|Niobrara,<td>93</td>,<td>95</td>,<td>101</td>
Marbleton|Sublette,"<td>1,114</td>","<td>1,094</td>",<td>720</td>
Medicine Bow|Carbon,<td>277</td>,<td>284</td>,<td>274</td>
Meeteetse|Park,<td>327</td>,<td>327</td>,<td>351</td>
Midwest|Natrona,<td>412</td>,<td>404</td>,<td>408</td>
Mills|Natrona,"<td>3,690</td>","<td>3,461</td>","<td>2,591</td>"
Moorcroft|Crook,"<td>1,036</td>","<td>1,009</td>",<td>807</td>
Mountain View|Uinta,"<td>1,304</td>","<td>1,286</td>","<td>1,153</td>"
Newcastle ?|Weston,"<td>3,513</td>","<td>3,532</td>","<td>3,065</td>"
Opal|Lincoln,<td>99</td>,<td>96</td>,<td>102</td>
Pavillion|Fremont,<td>240</td>,<td>231</td>,<td>165</td>
Pine Bluffs|Laramie,"<td>1,146</td>","<td>1,129</td>","<td>1,153</td>"
Pine Haven|Crook,<td>498</td>,<td>490</td>,<td>222</td>
Pinedale ?|Sublette,"<td>1,958</td>","<td>2,030</td>","<td>1,412</td>"
Powell|Park,"<td>6,407</td>","<td>6,314</td>","<td>5,373</td>"
Ranchester|Sheridan,<td>943</td>,<td>855</td>,<td>701</td>
Rawlins ?|Carbon,"<td>9,227</td>","<td>9,259</td>","<td>8,538</td>"
Riverside|Carbon,<td>53</td>,<td>52</td>,<td>59</td>
Riverton|Fremont,"<td>10,953</td>","<td>10,615</td>","<td>9,310</td>"
Rock River|Albany,<td>245</td>,<td>245</td>,<td>235</td>
Rock Springs|Sweetwater,"<td>24,045</td>","<td>23,036</td>","<td>18,708</td>"
Rolling Hills|Converse,<td>439</td>,<td>440</td>,<td>449</td>
Saratoga|Carbon,"<td>1,692</td>","<td>1,690</td>","<td>1,726</td>"
Sheridan ?|Sheridan,"<td>17,916</td>","<td>17,444</td>","<td>15,804</td>"
Shoshoni|Fremont,<td>655</td>,<td>649</td>,<td>635</td>
Sinclair|Carbon,<td>424</td>,<td>433</td>,<td>423</td>
Star Valley Ranch|Lincoln,"<td>1,541</td>","<td>1,503</td>",<td>776</td>
Sundance ?|Crook,"<td>1,239</td>","<td>1,182</td>","<td>1,161</td>"
Superior|Sweetwater,<td>332</td>,<td>336</td>,<td>244</td>
Ten Sleep|Washakie,<td>253</td>,<td>260</td>,<td>304</td>
Thayne|Lincoln,<td>364</td>,"<td>366<sup id=""cite_ref-5"" class=""reference""><a href=""#cite_note-5"">[5]</a></sup></td>",<td>341</td>
Thermopolis ?|Hot Springs,"<td>3,020</td>","<td>3,009</td>","<td>3,172</td>"
Torrington ?|Goshen,"<td>6,736</td>","<td>6,501</td>","<td>5,776</td>"
Upton|Weston,"<td>1,104</td>","<td>1,100</td>",<td>872</td>
Van Tassell|Niobrara,<td>15</td>,<td>15</td>,<td>18</td>
Wamsutter|Sweetwater,<td>503</td>,<td>451</td>,<td>261</td>
Wheatland ?|Platte,"<td>3,659</td>","<td>3,627</td>","<td>3,548</td>"
Worland ?|Washakie,"<td>5,366</td>","<td>5,487</td>","<td>5,250</td>"
Wright|Campbell,"<td>1,847</td>","<td>1,807</td>","<td>1,347</td>"
Yoder|Goshen,<td>161</td>,<td>151</td>,<td>169</td>
,"<td colspan=""2""></td>","<td class=""navbox-abovebelow"" colspan=""2"">","<td colspan=""2""></td>"
,"<td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">","<td colspan=""2""></td>","<td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">"
,"<td colspan=""2""></td>","<td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">","<td style=""padding:2px"">"
,"<td colspan=""2""></td>","<td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px;background:transparent;"">","<td colspan=""2""></td>"
