,carat,cut,cut_ord,color,clarity,clarity_ord,price
77,0.31,Very Good,3,I,SI1,3,408
78,0.28,Very Good,3,F,VVS1,7,642
79,0.42,Very Good,3,G,VS2,5,854
80,0.5,Ideal,5,E,SI1,3,1555
81,0.79,Ideal,5,E,VS1,4,4240
82,1.03,Ideal,5,G,SI2,2,4928
83,0.73,Ideal,5,G,VVS1,7,4182
84,1.01,Very Good,3,D,SI2,2,4606
85,1.12,Ideal,5,G,VS2,5,6774
86,2.01,Premium,4,I,VS2,5,17826
87,0.36,Ideal,5,E,VS2,5,718
88,1,Fair,1,H,VS1,4,5460
89,1.51,Good,2,G,VS2,5,11640
90,0.8,Very Good,3,E,SI1,3,3293
91,0.53,Premium,4,F,VS2,5,1753
92,2.09,Very Good,3,I,VS1,4,18215
93,1.01,Fair,1,G,SI1,3,4004
94,0.58,Premium,4,I,VVS1,7,1636
95,0.7,Very Good,3,D,VS1,4,3247
96,1,Very Good,3,F,VS1,4,6098
97,0.36,Ideal,5,D,SI1,3,626
98,1.1,Ideal,5,E,I1,1,3872
99,1,Ideal,5,E,SI2,2,4760
100,0.56,Fair,1,E,SI2,2,1389
101,0.96,Very Good,3,D,SI2,2,3480
102,0.37,Premium,4,E,VS2,5,692
103,0.92,Ideal,5,D,SI1,3,5779
104,0.33,Ideal,5,H,IF,8,959
105,0.51,Good,2,G,SI2,2,1129
106,0.77,Ideal,5,D,VS1,4,4039
107,0.41,Premium,4,F,VVS2,6,1192
108,0.44,Premium,4,E,SI2,2,1028
109,1.24,Premium,4,F,SI1,3,7162
110,0.57,Very Good,3,E,SI2,2,1384
111,0.39,Premium,4,G,VVS2,6,1024
112,0.6,Ideal,5,F,VS1,4,2142
113,0.8,Premium,4,F,SI2,2,2447
114,1.01,Ideal,5,F,SI1,3,5486
115,0.71,Ideal,5,I,SI1,3,2319
116,0.29,Very Good,3,G,VVS1,7,607
117,0.38,Very Good,3,D,SI1,3,701
118,0.91,Very Good,3,J,SI1,3,2905
119,0.51,Ideal,5,G,VS2,5,1450
120,0.77,Premium,4,H,VS2,5,2546
121,1.58,Premium,4,J,SI1,3,7654
122,0.51,Ideal,5,F,VS2,5,1431
123,0.33,Ideal,5,F,VVS1,7,1141
124,0.7,Ideal,5,E,SI1,3,3330
125,1.51,Ideal,5,E,SI1,3,11628
126,0.3,Premium,4,J,SI2,2,405
127,1.09,Premium,4,E,SI2,2,5127
128,1.23,Ideal,5,I,VVS2,6,7256
129,0.5,Ideal,5,I,SI1,3,1076
130,0.71,Premium,4,E,SI1,3,2554
131,0.72,Ideal,5,E,VS2,5,2691
132,0.33,Premium,4,G,VS1,4,854
133,1.52,Very Good,3,I,VS1,4,9576
134,1.23,Ideal,5,G,VS1,4,9116
135,0.54,Ideal,5,G,VVS2,6,1829
136,0.32,Ideal,5,F,VS2,5,828
137,1.31,Premium,4,E,SI1,3,8767
138,1.11,Ideal,5,D,SI2,2,5648
139,1.03,Very Good,3,H,SI2,2,4283
140,0.56,Ideal,5,J,VS2,5,1131
141,1.29,Very Good,3,H,SI2,2,5601
142,0.53,Ideal,5,G,VS2,5,1577
143,1.7,Premium,4,I,VS2,5,11257
144,0.3,Ideal,5,F,VS1,4,615
145,0.32,Premium,4,H,VVS2,6,828
146,1.51,Good,2,H,VS2,5,10763
147,0.43,Ideal,5,E,SI1,3,1016
148,0.3,Very Good,3,G,VS1,4,620
149,3,Good,2,E,I1,1,11548
150,0.75,Ideal,5,J,SI2,2,1944
151,0.9,Very Good,3,H,VVS2,6,4617
152,0.58,Very Good,3,D,SI1,3,1785
153,1.01,Very Good,3,H,SI1,3,4619
154,0.3,Good,2,F,VS2,5,484
155,0.79,Ideal,5,E,SI1,3,3053
156,0.71,Ideal,5,G,SI1,3,2233
157,1.01,Premium,4,G,SI1,3,4525
158,1.01,Very Good,3,D,VVS2,6,10453
159,1.01,Very Good,3,H,VS1,4,5687
160,1.2,Premium,4,G,VS2,5,7795
161,0.27,Very Good,3,D,VS1,4,470
162,0.56,Ideal,5,I,VVS1,7,1616
163,0.41,Ideal,5,E,VVS1,7,1431
164,0.72,Ideal,5,F,VVS2,6,3740
165,0.55,Ideal,5,D,SI2,2,1363
166,0.41,Premium,4,D,SI1,3,1015
167,0.3,Very Good,3,E,IF,8,1026
168,1.01,Ideal,5,G,VVS2,6,8252
169,0.4,Very Good,3,E,SI2,2,611
170,0.4,Premium,4,F,SI1,3,920
171,0.31,Very Good,3,H,SI1,3,446
172,0.39,Premium,4,G,VS2,5,787
173,0.71,Very Good,3,H,SI1,3,2210
174,1.11,Ideal,5,E,SI2,2,5262
175,1.02,Ideal,5,F,VS2,5,6479
176,0.33,Very Good,3,E,VS1,4,886
177,2.2,Premium,4,G,SI1,3,18193
178,2.02,Fair,1,H,SI2,2,14080
179,0.56,Very Good,3,F,SI1,3,1436
180,1.08,Ideal,5,D,VS1,4,9545
181,1.51,Premium,4,G,SI1,3,10739
182,1.15,Very Good,3,G,SI1,3,5538
183,1.25,Premium,4,I,VS2,5,5975
184,0.4,Ideal,5,G,VVS1,7,995
185,0.76,Premium,4,E,SI2,2,2688
186,1.01,Premium,4,E,VS1,4,7964
187,1.2,Premium,4,I,SI2,2,4989
188,1.34,Premium,4,J,VS2,5,5778
189,0.34,Premium,4,G,VS2,5,596
190,0.53,Ideal,5,F,SI1,3,1363
191,0.35,Very Good,3,G,IF,8,1001
192,0.23,Good,2,E,VVS1,7,462
193,1,Good,2,F,VS2,5,5606
194,2.04,Premium,4,H,SI2,2,15760
195,1.01,Very Good,3,I,SI1,3,4794
196,0.31,Very Good,3,H,IF,8,778
197,0.41,Good,2,I,VS1,4,969
198,1.11,Premium,4,F,VS2,5,7179
199,1.05,Premium,4,E,SI2,2,4939
200,0.51,Good,2,E,VS2,5,1424
201,0.38,Ideal,5,E,VVS2,6,1073
202,0.35,Ideal,5,I,SI2,2,580
203,0.72,Very Good,3,F,VVS2,6,3338
204,0.3,Ideal,5,E,SI1,3,499
205,0.31,Very Good,3,F,VS2,5,625
206,1.05,Ideal,5,G,VS2,5,7070
207,0.38,Premium,4,I,VS2,5,812
208,1,Premium,4,F,VS1,4,7056
209,0.32,Very Good,3,I,VS2,5,449
210,0.55,Very Good,3,D,SI2,2,1401
211,0.56,Premium,4,D,VS2,5,1963
212,0.31,Premium,4,F,SI1,3,663
213,0.33,Ideal,5,G,IF,8,946
214,1.72,Premium,4,H,SI2,2,10869
215,1.01,Premium,4,E,VS1,4,6670
216,2.02,Ideal,5,J,SI1,3,12713
217,1.05,Ideal,5,E,VS1,4,9160
218,0.24,Ideal,5,F,VVS2,6,540
219,0.39,Good,2,D,VVS2,6,1255
220,0.32,Ideal,5,D,SI1,3,756
221,0.32,Very Good,3,H,SI2,2,517
222,0.73,Ideal,5,H,SI1,3,2320
223,0.54,Premium,4,H,SI1,3,1240
224,0.52,Very Good,3,F,VS2,5,1607
225,0.5,Very Good,3,G,VVS2,6,1806
226,0.31,Ideal,5,E,VVS1,7,936
227,1.22,Very Good,3,I,SI2,2,5072
228,1.27,Good,2,J,VS1,4,5588
229,0.7,Good,2,E,VS1,4,3175
230,1.24,Premium,4,H,VS1,4,7222
231,1.01,Premium,4,E,SI1,3,5599
232,0.7,Very Good,3,D,SI1,3,3075
233,1.1,Very Good,3,G,SI1,3,4997
234,0.3,Very Good,3,E,VS2,5,658
235,1.51,Good,2,G,IF,8,14654
236,1.7,Ideal,5,F,VS2,5,17360
237,0.42,Ideal,5,G,IF,8,1289
238,0.36,Ideal,5,D,SI1,3,626
239,0.74,Very Good,3,F,SI2,2,2298
240,0.61,Ideal,5,G,VS2,5,2286
241,0.55,Ideal,5,F,VS1,4,1896
242,1,Very Good,3,I,VS2,5,4739
243,1.02,Ideal,5,H,SI2,2,4243
244,1,Premium,4,H,VS1,4,4732
245,0.33,Premium,4,F,VS2,5,854
246,0.31,Premium,4,F,VS2,5,802
247,1.16,Ideal,5,F,VS2,5,9432
248,1.17,Ideal,5,G,SI2,2,5743
249,0.62,Ideal,5,F,SI2,2,1364
250,0.31,Good,2,H,VS1,4,476
251,0.41,Very Good,3,H,VVS1,7,991
252,1.04,Very Good,3,F,VS1,4,7207
253,0.7,Ideal,5,F,SI1,3,2671
254,0.33,Very Good,3,H,VVS2,6,614
255,1.5,Good,2,J,VS1,4,8347
256,0.6,Ideal,5,F,VVS2,6,2298
257,1.2,Ideal,5,H,VS2,5,7190
258,0.31,Very Good,3,E,SI1,3,544
259,0.7,Good,2,D,SI1,3,2681
260,1.2,Premium,4,F,VS1,4,9370
261,0.37,Ideal,5,G,SI1,3,745
262,0.42,Premium,4,F,SI1,3,773
263,0.83,Ideal,5,J,VS2,5,2241
264,0.3,Ideal,5,D,SI1,3,552
265,0.32,Ideal,5,G,VVS1,7,732
266,0.34,Very Good,3,E,SI2,2,477
267,0.7,Very Good,3,G,VVS2,6,2905
268,0.88,Very Good,3,F,VVS2,6,5052
269,0.55,Ideal,5,H,VS1,4,1634
270,0.27,Ideal,5,H,VS1,4,464
271,1.14,Premium,4,G,SI2,2,4884
272,1.05,Ideal,5,I,SI1,3,4494
273,0.3,Very Good,3,J,VS2,5,473
274,1.5,Very Good,3,H,SI2,2,7365
275,1.91,Premium,4,G,SI2,2,9038
276,0.44,Premium,4,D,VS1,4,1232
277,1.07,Very Good,3,E,SI2,2,4609
278,0.5,Good,2,G,VVS2,6,1690
279,0.41,Premium,4,G,VS2,5,1061
280,0.7,Premium,4,I,VVS1,7,2536
281,0.38,Ideal,5,H,VVS2,6,1031
282,1.25,Ideal,5,E,VVS1,7,13536
283,0.5,Ideal,5,F,SI1,3,1374
284,0.24,Ideal,5,G,SI1,3,364
285,1.06,Very Good,3,E,SI2,2,4570
286,0.83,Premium,4,G,SI1,3,2863
287,0.3,Ideal,5,E,VVS2,6,766
288,0.6,Very Good,3,G,VVS1,7,2528
289,0.5,Fair,1,E,SI1,3,1176
290,0.9,Very Good,3,H,SI2,2,3295
291,0.3,Premium,4,H,VS1,4,675
292,0.31,Premium,4,I,SI1,3,593
293,1.56,Ideal,5,G,VS2,5,13787
294,0.71,Ideal,5,F,VS2,5,3123
295,1.51,Good,2,G,I1,1,3497
296,1.01,Ideal,5,E,VS1,4,7528
297,0.38,Ideal,5,H,VS2,5,680
298,2,Premium,4,H,SI2,2,12940
299,1.03,Premium,4,E,VS2,5,6460
300,0.52,Very Good,3,F,VS1,4,1748
301,0.39,Ideal,5,D,VS1,4,979
302,2,Premium,4,E,SI2,2,12987
303,0.3,Premium,4,H,VVS2,6,605
304,1.01,Premium,4,E,SI1,3,5599
305,0.31,Premium,4,G,VVS1,7,816
306,1.12,Ideal,5,D,VS2,5,8430
307,0.3,Ideal,5,F,VS2,5,605
308,0.4,Premium,4,F,VVS2,6,1088
309,0.9,Premium,4,G,SI1,3,3669
310,0.71,Premium,4,H,VS2,5,2363
311,0.54,Premium,4,G,SI1,3,1241
312,0.9,Ideal,5,D,SI1,3,4612
313,0.79,Very Good,3,H,SI2,2,2348
314,1.6,Ideal,5,F,SI1,3,13140
315,1.03,Very Good,3,G,SI2,2,4374
316,0.55,Premium,4,E,SI2,2,1134
317,0.8,Ideal,5,H,VVS1,7,3732
318,0.41,Ideal,5,I,VVS1,7,875
319,0.26,Premium,4,H,VS1,4,382
320,0.31,Very Good,3,G,VS2,5,544
321,1.09,Very Good,3,F,SI2,2,4629
322,0.3,Premium,4,D,VS2,5,911
323,1.11,Ideal,5,I,SI1,3,4273
324,0.62,Ideal,5,H,IF,8,2469
325,0.59,Premium,4,I,VVS1,7,1837
326,0.56,Ideal,5,F,VS2,5,1723
327,0.57,Very Good,3,D,IF,8,4032
328,1,Premium,4,F,SI1,3,5292
329,1.04,Ideal,5,G,VVS2,6,6173
330,0.7,Fair,1,E,SI1,3,2000
331,0.7,Ideal,5,E,SI1,3,2407
332,1.13,Premium,4,E,SI1,3,5012
333,1.51,Premium,4,D,VS1,4,17936
334,0.71,Very Good,3,E,SI1,3,2455
335,0.43,Premium,4,D,SI1,3,1064
336,0.55,Ideal,5,F,SI1,3,1368
337,1.54,Premium,4,G,SI2,2,8969
338,1,Very Good,3,E,SI2,2,4620
339,2.5,Fair,1,J,SI2,2,14652
340,1,Good,2,I,VS2,5,4761
341,1.01,Ideal,5,G,SI2,2,4783
342,1.02,Premium,4,D,SI2,2,4718
343,0.32,Premium,4,I,VS1,4,505
344,1.71,Good,2,J,SI2,2,7508
345,0.31,Ideal,5,H,VVS1,7,707
346,0.33,Ideal,5,G,IF,8,946
347,0.52,Very Good,3,E,SI1,3,1438
348,1.5,Ideal,5,H,SI1,3,11189
349,0.3,Premium,4,I,VS1,4,567
350,0.3,Premium,4,G,VVS2,6,878
351,0.5,Good,2,D,VS1,4,1795
352,0.52,Ideal,5,G,VVS1,7,2065
353,0.47,Good,2,E,VVS1,7,1613
354,1.3,Ideal,5,F,SI2,2,6559
355,0.31,Ideal,5,G,IF,8,871
356,0.34,Very Good,3,D,SI1,3,626
357,1.01,Ideal,5,F,SI2,2,3777
358,0.64,Ideal,5,D,VVS1,7,4281
359,0.31,Good,2,H,VS2,5,489
360,0.7,Premium,4,F,SI1,3,2196
361,0.7,Premium,4,F,VVS2,6,3062
362,1.17,Ideal,5,G,VVS2,6,9225
363,0.26,Very Good,3,E,VVS2,6,564
364,1,Good,2,E,VVS1,7,7084
365,0.4,Ideal,5,I,VS2,5,667
366,1,Fair,1,F,SI1,3,4657
367,0.47,Premium,4,G,VS2,5,1102
368,0.34,Ideal,5,F,VS1,4,745
369,0.33,Good,2,I,VVS2,6,579
370,0.52,Very Good,3,E,VS2,5,1670
371,1.02,Ideal,5,H,VVS2,6,6797
372,1.71,Premium,4,I,VS1,4,10055
373,1.01,Ideal,5,D,SI1,3,6257
374,1.4,Premium,4,H,SI1,3,8624
375,1.05,Ideal,5,G,SI1,3,5192
376,0.32,Ideal,5,E,IF,8,1018
377,1.21,Ideal,5,H,SI2,2,5624
378,1.14,Ideal,5,H,SI1,3,5501
379,0.4,Very Good,3,J,VS1,4,606
380,1.01,Very Good,3,I,SI1,3,4185
381,0.4,Premium,4,D,VS1,4,1200
382,1.52,Fair,1,J,SI2,2,5916
383,0.76,Premium,4,E,SI1,3,2814
384,0.5,Ideal,5,G,SI2,2,1011
385,0.28,Ideal,5,D,VVS1,7,780
386,1.11,Ideal,5,H,SI1,3,5315
387,0.38,Premium,4,H,VS2,5,700
388,1,Very Good,3,D,SI1,3,6040
389,0.56,Ideal,5,I,VVS1,7,1605
390,0.34,Premium,4,E,VVS2,6,995
391,0.82,Ideal,5,G,SI1,3,3123
392,1.04,Premium,4,F,SI2,2,4507
393,0.47,Ideal,5,H,IF,8,1865
394,1.02,Premium,4,H,VS2,5,5100
395,1.02,Very Good,3,D,SI1,3,6047
396,0.41,Premium,4,G,SI1,3,719
397,0.44,Very Good,3,E,VS1,4,1158
398,0.5,Premium,4,E,VS2,5,1654
399,1,Premium,4,J,SI1,3,3780
400,2.05,Premium,4,I,VS1,4,12766
401,0.75,Very Good,3,E,SI1,3,2698
402,0.95,Good,2,D,SI2,2,3214
403,0.51,Ideal,5,E,SI1,3,1438
404,0.3,Ideal,5,I,SI2,2,405
405,1.19,Very Good,3,H,VS1,4,7147
406,1,Fair,1,D,SI2,2,2974
407,1.6,Ideal,5,E,SI2,2,10798
408,0.38,Premium,4,F,SI1,3,838
409,0.33,Premium,4,D,VVS2,6,1002
410,0.8,Ideal,5,E,SI1,3,3630
411,1.5,Premium,4,H,IF,8,13107
412,0.3,Ideal,5,E,VVS1,7,956
413,0.3,Ideal,5,H,VVS2,6,605
414,0.27,Very Good,3,E,VVS2,6,620
415,0.46,Very Good,3,E,VS1,4,1417
416,1.51,Premium,4,H,SI2,2,8388
417,1.03,Premium,4,E,VS2,5,7192
418,0.33,Premium,4,H,VS2,5,668
419,1.01,Premium,4,H,SI1,3,4559
420,0.4,Ideal,5,D,VS2,5,1050
421,0.8,Ideal,5,E,VS2,5,3648
422,0.71,Very Good,3,G,VS2,5,2382
423,0.34,Premium,4,F,VS2,5,880
424,0.5,Good,2,D,SI1,3,1235
425,1.22,Ideal,5,F,VVS2,6,11870
426,0.59,Very Good,3,F,VS2,5,1764
427,0.78,Ideal,5,G,VS2,5,3613
428,1.21,Very Good,3,G,VVS2,6,9942
429,0.33,Very Good,3,G,VVS1,7,795
430,0.35,Ideal,5,J,VS1,4,478
431,1.19,Good,2,J,VS1,4,4931
432,1.25,Premium,4,H,VS1,4,8099
433,1.07,Premium,4,D,SI1,3,5704
434,0.75,Very Good,3,D,SI1,3,3048
435,1.51,Ideal,5,G,SI2,2,8794
436,2.3,Ideal,5,G,SI2,2,14744
437,0.72,Premium,4,F,SI1,3,2670
438,0.35,Premium,4,D,VS2,5,829
439,0.34,Good,2,H,VS2,5,689
440,1.01,Fair,1,G,VS2,5,4072
441,0.9,Very Good,3,D,SI2,2,3706
442,1,Good,2,D,SI2,2,4218
443,0.81,Ideal,5,E,VS2,5,4314
444,1.13,Ideal,5,H,SI1,3,5050
445,0.3,Ideal,5,D,VS2,5,616
446,0.31,Ideal,5,G,VVS1,7,1046
447,0.3,Very Good,3,H,VS1,4,675
448,1.23,Premium,4,I,SI2,2,4773
449,2.16,Premium,4,J,VVS1,7,17891
450,1.11,Ideal,5,I,SI1,3,4709
451,0.54,Premium,4,D,VS1,4,1847
452,1.02,Premium,4,D,VS2,5,6909
453,1.51,Premium,4,I,SI2,2,7577
454,0.73,Ideal,5,D,SI1,3,3195
455,1.03,Premium,4,I,VS1,4,5012
456,1.07,Very Good,3,F,VS1,4,7513
457,0.34,Ideal,5,D,SI1,3,626
458,0.5,Fair,1,G,VS1,4,1234
459,1.03,Good,2,J,I1,1,2220
460,0.4,Good,2,F,IF,8,1404
461,0.7,Premium,4,E,VS2,5,2818
462,1.52,Premium,4,J,VS1,4,8110
463,2.02,Premium,4,F,SI2,2,13267
464,0.4,Good,2,D,SI2,2,622
465,0.79,Ideal,5,E,VS2,5,3861
466,0.47,Premium,4,H,VS1,4,1244
467,0.33,Premium,4,E,SI2,2,463
468,1.21,Very Good,3,I,SI1,3,4404
469,0.51,Very Good,3,F,VS2,5,1601
470,1.01,Ideal,5,G,SI2,2,4803
471,0.77,Ideal,5,E,SI2,2,2519
472,1.01,Fair,1,E,VS2,5,4525
473,0.62,Very Good,3,H,VS2,5,1734
474,0.31,Ideal,5,I,VS2,5,421
475,2.04,Very Good,3,H,SI2,2,13790
476,0.41,Premium,4,E,SI1,3,705
477,1.26,Premium,4,F,VS1,4,10669
478,0.36,Ideal,5,D,VVS2,6,1033
479,0.71,Premium,4,G,VS2,5,2694
480,0.42,Ideal,5,G,SI1,3,882
481,0.31,Premium,4,H,VVS1,7,707
482,1,Premium,4,G,VS2,5,6048
483,0.31,Ideal,5,E,VS1,4,682
484,1.01,Premium,4,E,VS2,5,6843
485,0.71,Good,2,F,SI1,3,2396
486,1.02,Very Good,3,E,VS1,4,7779
487,0.73,Ideal,5,E,SI2,2,2581
488,0.4,Very Good,3,D,VS2,5,982
489,0.5,Fair,1,D,SI1,3,1323
490,1.28,Premium,4,I,VS2,5,6451
491,0.91,Good,2,F,SI2,2,3539
492,1.21,Very Good,3,I,VS1,4,5866
493,0.24,Very Good,3,I,VVS1,7,336
494,0.38,Very Good,3,D,VS1,4,995
495,0.9,Very Good,3,G,VS1,4,4358
496,0.8,Very Good,3,E,VS2,5,4263
497,0.28,Very Good,3,F,VS1,4,487
498,1.02,Ideal,5,G,VS2,5,6333
499,0.51,Premium,4,F,VS1,4,1836
500,0.72,Fair,1,E,VS2,5,2691
501,0.9,Premium,4,G,VS2,5,4022
502,1.22,Ideal,5,G,VS1,4,8313
503,0.4,Ideal,5,H,VS2,5,926
504,0.8,Premium,4,F,SI2,2,2371
505,0.71,Ideal,5,E,VS2,5,3247
506,0.7,Good,2,I,VVS2,6,2394
507,1.11,Very Good,3,H,VS2,5,5450
508,0.7,Very Good,3,D,SI2,2,2337
509,0.42,Very Good,3,D,SI1,3,756
510,0.36,Ideal,5,G,VS1,4,949
511,0.38,Very Good,3,F,VS1,4,988
512,1.02,Premium,4,F,VS1,4,7389
513,0.5,Ideal,5,D,VS1,4,2025
514,1.07,Ideal,5,F,VS2,5,8640
515,1.52,Premium,4,I,SI1,3,8631
516,0.7,Very Good,3,E,SI1,3,2575
517,1,Fair,1,D,SI1,3,5096
518,1.71,Very Good,3,F,VS2,5,17052
519,0.51,Premium,4,G,VS2,5,1343
520,0.3,Premium,4,F,VVS2,6,882
521,0.6,Premium,4,E,SI1,3,1625
522,1,Premium,4,D,VS2,5,6303
523,0.9,Premium,4,I,VS2,5,3398
524,0.7,Ideal,5,F,SI2,2,2171
525,0.52,Good,2,F,SI1,3,1244
526,1.23,Good,2,D,I1,1,3977
527,1.01,Good,2,G,SI2,2,4185
528,0.52,Ideal,5,I,VVS1,7,1454
529,0.38,Premium,4,H,VVS2,6,1069
530,2.01,Premium,4,H,SI1,3,16733
531,0.81,Fair,1,F,SI2,2,2031
532,0.55,Ideal,5,D,VS2,5,1768
533,0.36,Premium,4,J,SI1,3,410
534,1.51,Very Good,3,I,SI1,3,8637
535,0.43,Very Good,3,E,VS1,4,890
536,2.5,Fair,1,G,I1,1,7854
537,1.5,Very Good,3,G,VVS2,6,12798
538,1.51,Ideal,5,G,VS2,5,10553
539,0.34,Good,2,E,SI1,3,641
540,0.79,Premium,4,H,SI1,3,2275
541,1.07,Ideal,5,G,VS2,5,6040
542,1.05,Premium,4,F,SI2,2,4363
543,0.59,Very Good,3,H,SI2,2,1254
544,0.72,Premium,4,E,VS2,5,3078
545,0.93,Ideal,5,F,SI2,2,3941
546,0.71,Ideal,5,D,VS2,5,4029
547,0.3,Very Good,3,G,VVS2,6,684
548,0.58,Ideal,5,G,VS2,5,1641
549,0.74,Ideal,5,I,VS1,4,2631
550,0.56,Ideal,5,H,SI1,3,1270
551,0.4,Ideal,5,F,SI2,2,677
552,0.96,Fair,1,H,I1,1,1705
553,0.32,Ideal,5,G,VS1,4,828
554,0.34,Ideal,5,H,VS1,4,615
555,0.45,Ideal,5,J,VS2,5,672
556,1.01,Premium,4,H,SI2,2,4242
557,1.5,Premium,4,F,VS2,5,14486
558,0.35,Ideal,5,H,IF,8,984
559,1.5,Good,2,J,VVS2,6,8276
560,0.41,Ideal,5,E,SI2,2,818
561,1.24,Premium,4,D,VS2,5,9738
562,0.71,Ideal,5,J,SI1,3,1713
563,0.4,Ideal,5,F,VVS1,7,1128
564,0.26,Ideal,5,H,VS1,4,482
565,0.29,Very Good,3,G,VS2,5,471
566,1.28,Premium,4,H,SI1,3,6595
567,2.3,Ideal,5,I,SI2,2,16181
568,1.04,Very Good,3,I,SI1,3,4190
569,0.5,Ideal,5,I,SI1,3,982
570,1.39,Ideal,5,F,SI2,2,5021
571,0.51,Ideal,5,E,SI1,3,1546
572,0.36,Ideal,5,F,VS1,4,789
573,0.31,Premium,4,D,SI1,3,732
574,0.31,Ideal,5,G,VVS1,7,789
575,1,Very Good,3,F,SI2,2,4255
576,1.01,Premium,4,E,SI1,3,5599
577,0.9,Very Good,3,F,SI1,3,4119
578,1.02,Good,2,H,SI2,2,3427
579,1.01,Premium,4,H,SI2,2,4242
580,1.51,Good,2,H,VS1,4,10819
581,0.41,Good,2,I,VVS2,6,827
582,0.42,Ideal,5,F,VVS2,6,1221
583,1.21,Premium,4,J,VVS2,6,5431
584,0.25,Very Good,3,F,VVS2,6,575
585,0.5,Fair,1,G,I1,1,701
586,1.3,Ideal,5,F,VVS2,6,12734
587,0.39,Ideal,5,I,VVS2,6,849
588,0.4,Ideal,5,F,VS2,5,842
589,0.57,Premium,4,D,SI2,2,1012
590,1.2,Premium,4,E,SI2,2,5268
591,0.5,Fair,1,H,VS2,5,1122
592,0.71,Very Good,3,I,VVS2,6,2586
593,0.54,Ideal,5,E,VS2,5,1695
594,2.25,Very Good,3,H,SI2,2,14775
595,0.73,Very Good,3,F,VS2,5,2503
596,0.4,Premium,4,G,VS1,4,1125
597,1.51,Premium,4,G,VS2,5,16091
598,0.41,Very Good,3,D,VS2,5,1007
