,carat,cut,cut_ord,color,clarity,clarity_ord
217,1.01,Ideal,5,D,SI1,3
218,0.28,Ideal,5,H,VS1,4
219,0.53,Very Good,3,G,VS1,4
220,0.9,Very Good,3,I,VS2,5
221,0.3,Ideal,5,F,VVS1,7
222,1.51,Premium,4,D,SI2,2
223,1.01,Premium,4,G,SI2,2
224,0.31,Ideal,5,F,VS2,5
225,0.66,Ideal,5,D,VS2,5
226,0.56,Premium,4,D,SI1,3
227,0.28,Very Good,3,E,VVS2,6
228,0.55,Ideal,5,F,SI2,2
229,0.29,Ideal,5,G,IF,8
230,0.36,Ideal,5,E,VS1,4
231,0.31,Ideal,5,D,SI1,3
232,0.58,Very Good,3,G,VVS2,6
233,0.4,Premium,4,D,SI2,2
234,0.29,Ideal,5,I,VS1,4
235,0.62,Very Good,3,E,VS1,4
236,0.73,Ideal,5,E,SI2,2
237,2.01,Very Good,3,J,SI2,2
238,0.7,Very Good,3,G,I1,1
239,0.54,Good,2,D,SI2,2
240,0.3,Fair,1,D,VVS2,6
241,0.38,Ideal,5,H,VVS1,7
242,0.7,Premium,4,G,VS1,4
243,0.82,Ideal,5,E,SI2,2
244,0.41,Ideal,5,E,VVS2,6
245,0.64,Ideal,5,G,IF,8
246,1.01,Very Good,3,H,VS1,4
247,0.58,Very Good,3,I,VS2,5
248,0.34,Ideal,5,D,VS1,4
249,0.85,Ideal,5,E,VS1,4
250,0.91,Good,2,G,SI2,2
251,0.91,Premium,4,G,SI2,2
252,0.5,Fair,1,E,VS2,5
253,1,Premium,4,F,VS2,5
254,1.5,Very Good,3,G,SI1,3
255,1.26,Ideal,5,H,VS1,4
256,0.35,Premium,4,D,SI2,2
257,1.09,Premium,4,I,VS2,5
258,0.3,Ideal,5,F,VS2,5
259,0.27,Ideal,5,E,VS1,4
260,0.32,Ideal,5,E,VVS2,6
261,1.09,Premium,4,I,VS1,4
262,0.4,Premium,4,F,SI1,3
263,1.04,Ideal,5,E,VVS2,6
264,0.51,Premium,4,E,VS2,5
265,0.73,Ideal,5,H,SI1,3
266,1.01,Good,2,H,SI2,2
267,1.34,Ideal,5,G,VS2,5
268,0.52,Ideal,5,G,VVS2,6
269,1.21,Good,2,H,VS1,4
270,0.35,Ideal,5,F,VS1,4
271,0.7,Ideal,5,G,VVS2,6
272,0.7,Premium,4,G,SI1,3
273,0.42,Very Good,3,G,SI1,3
274,0.38,Premium,4,D,SI2,2
275,0.3,Ideal,5,G,VS1,4
276,0.91,Premium,4,F,SI2,2
277,1.11,Premium,4,G,SI1,3
278,0.3,Good,2,G,IF,8
279,0.32,Ideal,5,F,VVS1,7
280,0.42,Ideal,5,F,VS2,5
281,0.54,Ideal,5,G,VVS2,6
282,2.03,Very Good,3,I,VS2,5
283,0.4,Good,2,F,VS2,5
284,0.57,Premium,4,H,VS1,4
285,0.72,Ideal,5,J,VVS1,7
286,1.3,Premium,4,I,SI1,3
287,1.01,Premium,4,E,VS2,5
288,0.39,Ideal,5,G,SI2,2
289,0.43,Ideal,5,F,VVS2,6
290,0.77,Premium,4,I,SI1,3
291,0.53,Ideal,5,F,VVS1,7
292,0.65,Very Good,3,I,IF,8
293,0.33,Premium,4,D,SI2,2
294,1.02,Premium,4,F,SI2,2
295,0.31,Premium,4,G,VVS1,7
296,0.36,Ideal,5,F,SI1,3
297,0.3,Very Good,3,H,VVS1,7
298,0.9,Very Good,3,H,SI2,2
299,1.05,Ideal,5,G,SI1,3
300,1.5,Good,2,D,SI2,2
301,0.9,Very Good,3,H,VS1,4
302,0.72,Very Good,3,E,SI1,3
303,0.42,Premium,4,G,VS2,5
304,0.53,Premium,4,I,VVS1,7
305,0.51,Very Good,3,F,SI1,3
306,0.51,Ideal,5,H,VS2,5
307,0.86,Premium,4,F,SI2,2
308,1.51,Premium,4,H,SI1,3
309,0.37,Ideal,5,F,VS1,4
310,0.56,Premium,4,D,SI1,3
311,1.59,Premium,4,I,VS2,5
312,0.73,Ideal,5,H,SI1,3
313,0.31,Ideal,5,F,IF,8
314,0.4,Very Good,3,F,SI1,3
315,0.52,Ideal,5,F,VS2,5
316,1.04,Premium,4,H,SI1,3
317,1,Ideal,5,J,VS1,4
318,0.78,Ideal,5,F,SI1,3
319,0.76,Ideal,5,J,SI1,3
320,0.71,Premium,4,E,VS2,5
321,0.9,Ideal,5,G,SI2,2
322,1.01,Very Good,3,E,SI2,2
323,0.81,Very Good,3,G,SI2,2
324,0.36,Ideal,5,F,VVS2,6
325,0.61,Ideal,5,I,SI2,2
326,0.51,Ideal,5,E,VS2,5
327,0.24,Ideal,5,E,VVS2,6
328,0.52,Ideal,5,H,IF,8
329,1,Premium,4,H,SI2,2
330,0.31,Ideal,5,H,VVS2,6
331,1.08,Premium,4,H,VS1,4
332,0.7,Good,2,D,VS2,5
333,0.3,Very Good,3,F,VVS1,7
334,0.3,Ideal,5,H,SI1,3
335,0.7,Very Good,3,G,VS2,5
336,0.72,Ideal,5,E,SI2,2
337,0.3,Ideal,5,H,VVS1,7
338,0.76,Premium,4,F,SI1,3
339,0.41,Very Good,3,D,SI1,3
340,0.41,Premium,4,E,SI1,3
341,0.4,Very Good,3,D,SI2,2
342,1.54,Good,2,E,SI1,3
343,0.55,Ideal,5,E,VVS2,6
344,0.57,Ideal,5,H,SI1,3
345,0.53,Ideal,5,E,VS2,5
346,0.33,Very Good,3,E,VS2,5
347,1.53,Premium,4,D,SI2,2
348,0.52,Ideal,5,H,SI1,3
349,1.01,Very Good,3,F,VVS1,7
350,0.91,Very Good,3,D,SI1,3
351,0.54,Premium,4,F,VS2,5
352,0.53,Premium,4,H,SI1,3
353,1.02,Premium,4,G,VS2,5
354,0.3,Premium,4,H,VS1,4
355,2.05,Ideal,5,H,SI2,2
356,0.3,Premium,4,D,VS2,5
357,0.3,Premium,4,H,VS1,4
358,0.9,Very Good,3,J,VS1,4
359,2.25,Ideal,5,I,SI2,2
360,0.42,Ideal,5,G,VVS1,7
361,0.7,Good,2,F,SI2,2
362,1.2,Very Good,3,I,SI1,3
363,1.52,Premium,4,G,SI1,3
364,0.33,Ideal,5,G,VVS1,7
365,1.21,Premium,4,J,VVS2,6
366,0.23,Very Good,3,E,VVS2,6
367,0.31,Ideal,5,H,VVS2,6
368,0.5,Ideal,5,F,SI1,3
369,1.01,Very Good,3,H,SI1,3
370,0.76,Ideal,5,H,VS2,5
371,0.31,Premium,4,E,VVS2,6
372,1.77,Ideal,5,D,SI2,2
373,0.4,Very Good,3,G,SI1,3
374,0.51,Very Good,3,G,VS2,5
375,0.54,Ideal,5,F,VVS1,7
376,0.3,Ideal,5,F,SI1,3
377,1.06,Ideal,5,I,SI2,2
378,0.81,Ideal,5,F,VS1,4
379,0.58,Ideal,5,D,SI1,3
380,0.53,Good,2,H,SI1,3
381,0.3,Very Good,3,E,SI1,3
382,1.09,Premium,4,F,SI1,3
383,1.17,Ideal,5,I,SI2,2
384,1.53,Ideal,5,I,VS2,5
385,1.03,Good,2,E,SI2,2
386,0.35,Premium,4,I,SI1,3
387,1,Very Good,3,D,VS2,5
388,2.01,Premium,4,G,SI2,2
389,0.32,Premium,4,G,VS1,4
390,1.01,Ideal,5,F,SI2,2
391,0.4,Very Good,3,D,VS2,5
392,1.12,Premium,4,D,SI2,2
393,1.24,Very Good,3,H,VVS2,6
394,0.52,Ideal,5,E,VS2,5
395,0.82,Very Good,3,F,VVS2,6
396,1.05,Good,2,G,SI2,2
397,1,Very Good,3,F,VS2,5
398,0.81,Very Good,3,J,SI1,3
399,1.02,Very Good,3,E,VS1,4
400,0.75,Fair,1,J,VS1,4
401,0.4,Very Good,3,D,SI2,2
402,2.04,Premium,4,F,SI2,2
403,0.52,Ideal,5,E,VS2,5
404,0.8,Very Good,3,F,VS2,5
405,1.01,Very Good,3,F,VS1,4
406,0.43,Premium,4,E,SI1,3
407,1.13,Premium,4,G,VVS1,7
408,0.4,Ideal,5,F,IF,8
409,1.05,Premium,4,G,VS1,4
410,0.41,Good,2,E,VS2,5
411,1.01,Ideal,5,G,VS2,5
412,0.7,Fair,1,G,SI1,3
413,0.55,Ideal,5,G,VVS1,7
414,0.53,Ideal,5,E,VS2,5
415,1.16,Ideal,5,F,VS2,5
416,0.3,Ideal,5,F,VS1,4
417,0.7,Ideal,5,F,VS2,5
418,0.33,Very Good,3,F,VVS2,6
419,0.71,Premium,4,E,VS2,5
420,0.71,Premium,4,E,VS1,4
421,0.33,Ideal,5,G,IF,8
422,1.58,Ideal,5,I,SI1,3
423,1.63,Premium,4,I,VS1,4
424,0.38,Ideal,5,E,IF,8
425,1.29,Premium,4,I,VS1,4
426,1.1,Very Good,3,I,SI2,2
427,1.73,Premium,4,F,SI2,2
428,1.01,Fair,1,F,SI1,3
429,0.41,Very Good,3,E,SI2,2
430,0.9,Premium,4,I,VS2,5
431,0.3,Ideal,5,I,VS1,4
432,0.27,Ideal,5,E,VS1,4
433,0.28,Very Good,3,H,SI1,3
434,1.17,Ideal,5,H,VS2,5
435,1.02,Premium,4,E,SI1,3
436,0.34,Ideal,5,E,VVS1,7
437,0.45,Good,2,F,VS1,4
438,0.75,Ideal,5,G,SI2,2
439,0.31,Ideal,5,F,VVS2,6
440,0.38,Ideal,5,D,VVS2,6
441,0.39,Premium,4,G,VS2,5
442,0.54,Ideal,5,G,SI1,3
443,0.7,Premium,4,D,SI1,3
444,0.31,Ideal,5,E,IF,8
445,1.21,Ideal,5,F,VS2,5
446,0.33,Premium,4,G,VS1,4
447,1.11,Very Good,3,J,VS1,4
448,0.31,Ideal,5,F,VS2,5
449,0.32,Very Good,3,F,VS2,5
450,0.28,Very Good,3,E,VVS2,6
451,2.17,Very Good,3,H,SI2,2
452,0.35,Good,2,H,VS2,5
453,0.57,Ideal,5,F,VVS1,7
454,1.02,Ideal,5,I,SI1,3
455,0.77,Ideal,5,J,VS2,5
456,0.55,Ideal,5,F,SI2,2
457,0.91,Premium,4,G,SI1,3
458,1.01,Very Good,3,G,VS2,5
459,0.33,Ideal,5,G,VVS2,6
460,0.9,Good,2,H,VS2,5
461,0.31,Premium,4,G,VS2,5
462,0.3,Ideal,5,D,VS1,4
463,0.39,Ideal,5,H,SI2,2
464,0.63,Very Good,3,G,VS1,4
465,0.71,Ideal,5,F,SI1,3
466,1.02,Ideal,5,G,VS2,5
467,0.56,Very Good,3,J,VS2,5
468,0.53,Ideal,5,E,VS1,4
469,0.92,Good,2,D,SI2,2
470,0.3,Ideal,5,G,VS1,4
471,0.52,Very Good,3,F,VVS2,6
472,0.36,Ideal,5,E,VS1,4
473,2.02,Ideal,5,F,SI2,2
474,0.54,Ideal,5,D,VS2,5
475,0.76,Very Good,3,J,VS1,4
476,1.21,Very Good,3,F,VS2,5
477,0.3,Premium,4,F,VS2,5
478,0.9,Very Good,3,E,SI1,3
479,0.36,Ideal,5,D,SI2,2
480,0.71,Ideal,5,I,SI1,3
481,1.09,Ideal,5,E,VS2,5
482,0.31,Ideal,5,D,VVS2,6
483,0.3,Very Good,3,G,VS1,4
484,0.4,Ideal,5,I,VS2,5
485,0.3,Ideal,5,E,VVS2,6
486,1.7,Premium,4,F,VS2,5
487,0.43,Very Good,3,E,SI1,3
488,0.53,Ideal,5,F,VVS2,6
489,0.41,Ideal,5,G,VS1,4
490,0.72,Premium,4,E,SI1,3
491,1,Good,2,G,VS2,5
492,0.37,Ideal,5,F,VVS2,6
493,0.5,Very Good,3,G,SI1,3
494,0.31,Ideal,5,G,VVS1,7
495,1.01,Very Good,3,F,VS2,5
496,0.33,Ideal,5,E,VS2,5
497,0.35,Good,2,I,SI1,3
498,0.3,Ideal,5,E,VVS2,6
499,0.37,Premium,4,J,VS2,5
500,1.21,Ideal,5,G,VS2,5
501,1.05,Ideal,5,E,VVS2,6
502,1.11,Premium,4,D,VS2,5
503,0.57,Ideal,5,D,VS2,5
504,1.01,Very Good,3,E,SI2,2
505,0.51,Ideal,5,I,VS2,5
506,0.52,Ideal,5,G,VS1,4
507,0.58,Ideal,5,G,SI1,3
508,0.26,Very Good,3,E,VVS1,7
509,0.85,Fair,1,H,I1,1
510,0.43,Ideal,5,G,VVS1,7
511,0.25,Ideal,5,G,VVS1,7
512,0.78,Ideal,5,H,SI1,3
513,1,Ideal,5,D,SI1,3
514,0.31,Good,2,D,SI2,2
515,0.44,Premium,4,G,VS2,5
516,0.5,Premium,4,G,VVS2,6
517,1.82,Very Good,3,G,SI1,3
518,0.4,Very Good,3,D,VVS2,6
519,0.33,Premium,4,H,VS2,5
520,0.71,Premium,4,G,SI1,3
521,2.03,Very Good,3,I,VS2,5
522,0.25,Ideal,5,H,VS1,4
523,1.1,Premium,4,F,VS2,5
524,0.91,Very Good,3,G,VS1,4
525,0.54,Ideal,5,D,VS1,4
526,0.9,Good,2,D,SI1,3
527,1.09,Good,2,H,SI1,3
528,1.57,Ideal,5,H,I1,1
529,0.71,Ideal,5,F,VS1,4
530,0.72,Good,2,G,VS2,5
531,1.12,Ideal,5,H,SI1,3
532,0.31,Ideal,5,H,IF,8
533,0.7,Ideal,5,F,SI1,3
534,0.53,Ideal,5,H,VS1,4
535,0.3,Ideal,5,H,IF,8
536,0.73,Premium,4,G,VVS2,6
537,0.4,Premium,4,E,VS1,4
538,1.09,Premium,4,H,SI1,3
539,1.21,Premium,4,I,VS2,5
540,0.32,Ideal,5,D,VVS2,6
541,0.31,Ideal,5,G,VVS1,7
542,0.43,Premium,4,I,IF,8
543,0.3,Ideal,5,E,VS2,5
544,1,Ideal,5,H,I1,1
545,0.3,Ideal,5,E,SI2,2
546,0.61,Very Good,3,G,VS2,5
547,0.33,Very Good,3,E,SI1,3
548,0.62,Premium,4,F,VS2,5
549,1.1,Premium,4,G,VS2,5
550,0.32,Ideal,5,F,VS1,4
551,1.08,Very Good,3,F,SI1,3
552,0.41,Ideal,5,G,SI2,2
553,1,Ideal,5,G,SI1,3
554,1,Ideal,5,E,SI1,3
555,0.37,Ideal,5,G,IF,8
556,0.35,Premium,4,E,SI2,2
557,1.2,Good,2,H,SI1,3
558,0.5,Premium,4,E,SI1,3
559,0.43,Ideal,5,G,VVS2,6
560,0.42,Very Good,3,G,VS2,5
561,0.59,Ideal,5,E,SI1,3
562,1.4,Ideal,5,H,SI2,2
563,0.66,Good,2,F,VS2,5
564,1.02,Ideal,5,I,VS2,5
565,0.53,Ideal,5,H,VS2,5
566,0.51,Good,2,F,SI1,3
567,0.42,Very Good,3,D,SI2,2
568,2.03,Ideal,5,H,SI2,2
569,0.41,Premium,4,H,VS1,4
570,0.41,Ideal,5,F,VS1,4
571,0.3,Very Good,3,H,VS2,5
572,1.11,Ideal,5,F,VS2,5
573,0.31,Very Good,3,J,VS2,5
574,0.7,Good,2,F,SI1,3
575,0.4,Premium,4,E,SI1,3
576,0.33,Ideal,5,G,SI2,2
577,0.9,Very Good,3,F,SI2,2
578,0.31,Ideal,5,F,VS2,5
579,1.15,Ideal,5,D,VS2,5
580,1.01,Ideal,5,D,VVS2,6
581,0.42,Ideal,5,G,VS1,4
582,0.91,Ideal,5,J,VS1,4
583,1.26,Premium,4,I,SI1,3
584,1.28,Ideal,5,G,VS1,4
585,1.17,Ideal,5,G,VVS2,6
586,1.02,Premium,4,G,SI2,2
587,0.57,Ideal,5,E,VS2,5
588,0.91,Very Good,3,I,VS2,5
589,1,Ideal,5,I,VS2,5
590,0.7,Good,2,D,VS1,4
591,1.14,Very Good,3,D,VS2,5
592,0.9,Very Good,3,F,SI2,2
593,0.3,Ideal,5,G,IF,8
594,0.27,Ideal,5,E,VS1,4
595,0.34,Ideal,5,I,IF,8
596,0.33,Ideal,5,G,IF,8
597,2,Ideal,5,G,SI2,2
598,0.7,Premium,4,G,VS2,5
599,0.37,Good,2,F,VS2,5
600,0.73,Ideal,5,D,VS2,5
601,0.38,Ideal,5,E,SI1,3
602,1,Premium,4,I,VS1,4
603,0.39,Premium,4,G,IF,8
604,0.51,Premium,4,E,VS2,5
605,0.7,Very Good,3,F,SI1,3
606,1.11,Good,2,H,SI2,2
607,0.34,Ideal,5,E,VVS1,7
608,1.25,Ideal,5,J,SI1,3
609,0.52,Ideal,5,J,SI1,3
610,1,Very Good,3,H,SI2,2
611,0.33,Ideal,5,F,VVS1,7
612,1.8,Ideal,5,D,SI2,2
613,0.3,Good,2,H,VS1,4
614,0.7,Very Good,3,E,VS1,4
615,1.08,Ideal,5,G,VS2,5
616,0.61,Good,2,G,I1,1
617,1.1,Premium,4,G,VS2,5
618,0.41,Premium,4,F,VS2,5
619,0.33,Very Good,3,G,VS2,5
620,0.5,Premium,4,J,SI1,3
621,0.38,Premium,4,D,VS1,4
622,2.01,Ideal,5,H,SI2,2
623,0.42,Ideal,5,D,SI1,3
624,1.52,Ideal,5,G,SI1,3
625,0.53,Ideal,5,E,VS1,4
626,0.7,Very Good,3,E,IF,8
627,0.72,Ideal,5,G,VS2,5
628,0.9,Very Good,3,E,SI1,3
629,1.22,Ideal,5,I,SI1,3
630,0.25,Very Good,3,F,VVS1,7
631,2.03,Ideal,5,I,VS2,5
632,1.02,Ideal,5,G,SI2,2
633,0.74,Ideal,5,J,VS1,4
634,1.24,Premium,4,H,SI1,3
635,1.15,Premium,4,G,SI2,2
636,2.01,Premium,4,I,SI2,2
637,0.71,Premium,4,F,IF,8
638,0.56,Ideal,5,D,SI2,2
639,1.01,Ideal,5,H,SI1,3
640,0.31,Ideal,5,F,IF,8
641,1.19,Ideal,5,D,SI2,2
642,0.5,Ideal,5,D,VS2,5
643,1.02,Premium,4,G,SI1,3
644,0.38,Premium,4,E,SI1,3
645,0.41,Ideal,5,F,VVS2,6
646,1.52,Ideal,5,D,SI2,2
647,1.22,Ideal,5,G,VS2,5
648,0.53,Ideal,5,D,VS2,5
649,0.4,Very Good,3,D,SI1,3
650,0.33,Premium,4,D,SI1,3
651,0.31,Ideal,5,H,VS1,4
652,1.14,Premium,4,D,SI1,3
653,1.32,Premium,4,I,SI2,2
654,0.23,Very Good,3,F,VVS1,7
655,0.41,Very Good,3,G,VVS2,6
656,2.24,Ideal,5,I,SI2,2
657,0.55,Ideal,5,D,VS2,5
658,2.32,Fair,1,H,SI1,3
659,1.25,Ideal,5,J,VS2,5
660,0.31,Ideal,5,F,SI1,3
661,2.01,Fair,1,H,VS2,5
662,0.55,Ideal,5,E,SI1,3
663,0.7,Very Good,3,E,VVS2,6
664,1.51,Good,2,D,VS1,4
665,0.31,Ideal,5,F,VVS1,7
666,0.95,Ideal,5,H,SI1,3
667,0.24,Ideal,5,G,VS1,4
668,0.4,Premium,4,D,SI2,2
669,1.25,Premium,4,H,SI2,2
670,0.24,Very Good,3,E,VVS1,7
671,0.83,Ideal,5,F,SI1,3
672,1.01,Very Good,3,G,VS2,5
673,0.27,Very Good,3,F,VVS1,7
674,1.1,Ideal,5,F,VS1,4
675,0.3,Premium,4,G,VVS2,6
676,0.52,Ideal,5,E,SI1,3
677,0.4,Ideal,5,G,IF,8
